address,end_address,name,kind,subtype,size_bytes,width_bits,signed,rows,cols,subsystem,confidence,inbound_xrefs,callers,description,evidence,aliases,generated
0x204E,0x204F,fuel_blend_word_204e,ram,u16,2,16,,,,fuel,strong,0,,Nonnegative blend/scale term derived from correction B.,decoded producer/consumer instruction flow,,false
0x2050,0x2050,signed_fuel_correction_2050,ram,s8,1,8,,,,fuel,strong,0,,Additional signed correction combined into the central fuel stack.,decoded producer/consumer instruction flow,,false
0x2051,0x2052,corrected_fuel_charge_2051,ram,u16,2,16,,,,fuel,strong,0,,Corrected fuel/charge value in the final duration calculation.,decoded producer/consumer instruction flow,,false
0x2053,0x2053,fuel_multiplier_2053,ram,u8,1,8,,,,fuel,strong,0,,Multiplier-style correction applied to the fuel accumulator.,decoded producer/consumer instruction flow,,false
0x2055,0x2056,transient_fuel_add_a_2055,ram,u16,2,16,,,,fuel-transient,strong,0,,First additive transient enrichment term.,decoded producer/consumer instruction flow,,false
0x2057,0x2058,transient_fuel_add_b_2057,ram,u16,2,16,,,,fuel-transient,strong,0,,Second additive transient enrichment term.,decoded producer/consumer instruction flow,,false
0x2059,0x2059,afterstart_state_2059,ram,u8,1,8,,,,fuel-warmup,confirmed,0,,Warmup/afterstart state selector.,decoded producer/consumer instruction flow,,false
0x2060,0x2061,afterstart_timer_2060,ram,u16,2,16,,,,fuel-warmup,strong,0,,Afterstart timer/countdown working value.,decoded producer/consumer instruction flow,,false
0x2062,0x2062,afterstart_count_2062,ram,u8,1,8,,,,fuel-warmup,strong,0,,Afterstart counter.,decoded producer/consumer instruction flow,,false
0x2084,0x2084,signed_fuel_trim_raw,ram,variable,1,8,,,,fuel,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2085,0x2085,warmup_fuel_correction_2085,ram,u8,1,8,,,,fuel-warmup,strong,0,,CTS-indexed warmup fuel correction.,decoded producer/consumer instruction flow,,false
0x2086,0x2087,fuel_edge_deadline_term,ram,u16be,2,16,,,,fuel,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2090,0x2090,closed_loop_state_2090,ram,u8,1,8,,,,closed-loop,confirmed,0,,Closed-loop/adaptive state.,decoded producer/consumer instruction flow,,false
0x2091,0x2092,closed_loop_integrator_2091,ram,u16,2,16,,,,closed-loop,strong,0,,Closed-loop/adaptive integrator accumulator.,decoded producer/consumer instruction flow,,false
